央视频道,#genre#
齐河综合,rtsp://222.133.46.75/PLTV/88888888/224/3221226909/10000100000000060000000002608320_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EkiTtmi-zNsPDImnc7IlPHA%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000434%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
禹城综合,rtsp://222.133.46.75/PLTV/88888888/224/3221226940/10000100000000060000000002660569_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7Ew_3hE-DOjVCRFAyIQdAvUw%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000440%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
禹城综艺,rtsp://222.133.46.75/PLTV/88888888/224/3221226916/10000100000000060000000002660575_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7E8e1qO8cu9KZ8nAmBC1WteQ%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000441%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
武城新闻,rtsp://222.133.46.75/PLTV/88888888/224/3221226911/10000100000000060000000002655931_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7E0wuL-4T_OMzjCfW3R9fZ5w%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000438%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
武城综艺,rtsp://222.133.46.75/PLTV/88888888/224/3221226924/10000100000000060000000002660564_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EHgwlzM0jk7hIv_8VUaoWzg%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000439%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
平原新闻,rtsp://222.133.46.75/PLTV/88888888/224/3221226950/426586282.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EKVcwNUBzPExQB2SefEPFRA%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000442%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
夏津新闻,rtsp://222.133.46.75/PLTV/88888888/224/3221226923/430220526.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7Em0QB-Ksr2CyrezyumzVkIQ%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000446%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
夏津公共,rtsp://222.133.46.75/PLTV/88888888/224/3221226955/430220470.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EGjUTyqayytppLXQTwtitYA%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000447%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
海看电竞世界,rtsp://222.133.46.75/PLTV/88888888/224/3221226525/10000100000000060000000001362580_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7E5JsNRr3-vkJUnTEo71su7w%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000356%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND
海看4K,rtsp://222.133.46.75/PLTV/88888888/224/3221226312/10000100000000060000000000446689_0.smil?rrsip=27.223.126.145&zoneoffset=480&icpid=SDLT&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7Edd3KUULPJqMTlohJiikwQQ%7EHdj3yegOjIEjIOMkf3r8qBKhuX3TjjanlzxvS5v9yFmVz1vC8y24FqyqUCjqdJOhghdgUHjgdQMvhS7nER3isTBRP8Z746UM-wxbs-naGeM%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210107192140%2C3698343%2C100.113.244.234%2C20210107192140%2C99081002000000050000000000000311%2C3698343%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2CEND

影视其他,#genre#
